"Location","Sample","AG0377","AG0393","AG0396","AG0416","AG0515","AG0581","AG0608","AG0620","AG0638","AG0651","AG0686","AG0703","AG0732","AG0777","AG0815","AG0863","AG0865","AG0895","AG0912","AG0930","AG0931","AG0974","AG1034","AG1046","AG1061","AG1099","AG1152","AG1225","AG1226","AG1661","AG1687","AG1698","IG0005","IG0011","IG0012","HYC01","IG0020","IG0023","IG0028","IG0044","IG0053","IG0058","IG0060","IG0063","IG0079","IG0081","IG0133","IG0197","IG0314","UNI05","Total Events"
"14(1,F2)","S06","9537.5","542.5","4384","165","135","151","1271","206","967.5","4462","169","1628","4490","114","8061","1703","2034","126.5","219.5","218","175.5","95","9080.5","184","178.5","962.5","141","161","207","619","667","241","3386","143","8450.5","24698","3904","5149","3447","2013","656.5","5651","22435","956","273.5","1271.5","25059","442","319","21508.5","7075"
"15(1,G2)","S07","1007.5","656","1475","169","142","951","1935.5","1874.5","985.5","14863","2011","874","700","132","122","1547","4587","138","874","230","189.5","98.5","21738","190","190","5891","5091","245.5","7499.5","519","4760","307","247","146.5","3453","24382.5","307","5925","6707","7137","383","10020","17275","13623","603.5","8635.5","421","702","398.5","21568.5","7084"
"16(1,H2)","S08","6224","540.5","495","152.5","126","965","2757","277.5","1038.5","4967","583","1108","9914","119","408","229.5","7502","121","169","223","180","105","17497","167","178","1984.5","508","389","2220.5","630","777","438","1488.5","146","13845","24513","8227.5","4045.5","10235","5179.5","1084","11657.5","14725","2570","461","2368","21366","654","725","22663","7869"
"17(1,A3)","S09","389","714","6261.5","170.5","136","273","12052","372.5","1022.5","6711","253","384","2259","122","150.5","13701","321.5","128","386","276.5","227","99","13177.5","169","187","557","185.5","161","3233","514","233.5","203","1063","142","4359","24089.5","1156","6388","508","6010","464","6362","21472","2363","360","1517","17237","524.5","486","21587","6785"
"18(1,B3)","S10","219","589","420","160.5","136","939","16961","184","1030","9414","178.5","1556","14273","119","155","622","1644","129","476.5","320.5","198","121","18204","205","174","241","167","315","2916.5","560","249","179","204","147","17309","24270","12648","6164","3086","13442.5","1311","10769","3676.5","841","802","1063","448","993.5","782","24322","7239"
"19(1,C3)","S11","583.5","818","255.5","165","132","967","1342","234","1022","10219.5","345","227","1330.5","116.5","4910","172","2223","119","283","19952","21594.5","100","16967","187","182","763","224","139","1017","535","234","6603","248","151","3397","24097.5","879","21000","3548","17983","290","14383.5","4622","3408","209","1257","1417","398.5","1444.5","22085","8112"
"20(1,D3)","S12","183","523","362.5","174","305","1870","3507","193","1947","8439","537","540","680","127.5","152.5","229","14672","126.5","220","2714","279","97.5","16458.5","301","10840.5","1777","563.5","199","1002","498","230.5","225","222","150","2473","23451","305","8764.5","18849","7958","11276","9558","14258","3055","408.5","748","2401","1364","430","21059","7163"
"21(1,E3)","S13","178.5","970","308","156","127","494","1257.5","149","1457","6392","254.5","260","1180.5","100","112","927","169","125","233","5097","4753.5","106.5","8882.5","191.5","165","440","7095","649.5","950","499","175","7119","265","250.5","3407.5","23969","281","14192","193","7440","285","11440.5","7355","691","298","290.5","4138.5","447","1957.5","23799.5","8243"
"22(1,F3)","S14","189","726.5","610","154","131.5","1438.5","3849","215","1004","15163","696.5","391","1609","124","111","1279","271","121","2057","6356.5","789.5","101","21242.5","198","163.5","2147","541","229","3423","492.5","294","2153","204","141","3996","24262.5","1161.5","8928","310.5","12484","680","12899.5","20204.5","4927","217","928.5","329","372.5","321","21628.5","8840"
"23(1,G3)","S15","181","1259","301.5","166","137","722","1149","223","988","11972","248.5","257","440","130","2626","189.5","956","7411.5","536","226","174","323","17020.5","191.5","183","556","1575.5","138.5","1035","502","259","3405","220","139","1488.5","24311","272","17653.5","1595","11508","1768","7838","8154","1402.5","163","1915.5","453","318","2933","21592","8481"
